,Player,Team,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
286,Jon Leuer,MIL,"$3,169,348","$3,169,348","$3,169,347",,,,,"$9,508,043"
287,Yogi Ferrell,SAC,"$3,150,000",,,,,,Cap Space,"$3,150,000"
288,Guerschon Yabusele,BOS,"$3,117,240",,,,,,,"$3,117,240"
289,Zhaire Smith,PHI,"$3,058,800","$3,204,600","$4,915,856",,,,1st Round Pick,"$6,263,400"
290,Dwight Howard,MEM,"$3,039,097",,,,,,,"$3,039,097"
291,Khem Birch,ORL,"$3,000,000","$3,000,000",,,,,Early Bird Rights,"$6,000,000"
292,Ryan Arcidiacono,CHI,"$3,000,000","$3,000,000","$3,000,000",,,,Cap space,"$6,000,000"
293,Quinn Cook,LAL,"$3,000,000","$3,000,000",,,,,Cap Space,"$4,000,000"
294,Ã–mer AÅŸÄ±k,CHI,"$3,000,000",,,,,,,"$3,000,000"
295,Nickeil Alexander-Walker,NOP,"$2,964,840","$3,113,160","$3,261,480","$5,009,633",,,1st Round Pick,"$6,078,000"
296,D.J. Wilson,MIL,"$2,961,120","$4,548,280",,,,,1st Round Pick,"$7,509,400"
297,Cedi Osman,CLE,"$2,907,143","$8,750,000","$8,050,000","$7,350,000","$6,650,000",,MLE,"$27,057,143"
298,Donte DiVincenzo,MIL,"$2,905,800","$3,044,160","$4,675,830",,,,1st Round Pick,"$5,949,960"
299,Bryn Forbes,SAS,"$2,875,000",,,,,,Early Bird Rights,"$2,875,000"
300,Andrew Nicholson,POR,"$2,844,429","$2,844,429","$2,844,429","$2,844,429","$2,844,429",,,"$14,222,145"
301,Goga Bitadze,IND,"$2,816,760","$2,957,520","$3,098,400","$4,765,339",,,1st Round Pick,"$5,774,280"
302,T.J. Leaf,IND,"$2,813,280","$4,326,825",,,,,1st Round Pick,"$7,140,105"
303,Lonnie Walker,SAS,"$2,760,480","$2,892,000","$4,447,896",,,,1st Round Pick,"$5,652,480"
304,Alex Caruso,LAL,"$2,750,000","$2,750,000",,,,,Room Exception,"$5,500,000"
305,Malik Beasley,MIN,"$2,731,714",,,,,,1st Round pick,"$2,731,714"
306,,,,,,,,,,
307,,,,,,,,,,
308,Luka Å amaniÄ‡,SAS,"$2,689,920","$2,824,320","$2,959,080","$4,556,983",,,1st Round Pick,"$5,514,240"
309,John Collins,ATL,"$2,686,560","$4,137,302",,,,,1st Round Pick,"$6,823,862"
310,Kevin Huerter,ATL,"$2,636,280","$2,761,920","$4,253,357",,,,1st Round Pick,"$5,398,200"
311,Caris LeVert,BRK,"$2,625,718","$16,203,704","$17,500,000","$18,796,296",,,1st Round pick,"$55,125,718"
312,Marko Guduric,MEM,"$2,625,000","$2,750,000",,,,,Bi-annual Exception,"$5,375,000"
313,DeAndre' Bembry,ATL,"$2,603,982",,,,,,1st Round pick,"$2,603,982"
314,Matisse Thybulle,PHI,"$2,582,160","$2,711,280","$2,840,160","$4,379,527",,,1st Round Pick,"$5,293,440"
315,Harry Giles,SAC,"$2,578,800",,,,,,1st Round Pick,"$2,578,800"
316,Jeff Green,UTA,"$2,564,753",,,,,,,"$2,564,753"
317,Pau Gasol,POR,"$2,564,753",,,,,,,"$2,564,753"
318,Wesley Matthews,MIL,"$2,564,753","$2,692,991",,,,,Minimum Salary,"$2,564,753"
319,Kyle Korver,MIL,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
320,Udonis Haslem,MIA,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
321,Jared Dudley,LAL,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
322,Rajon Rondo,LAL,"$2,564,753","$2,619,605",,,,,Minimum Salary,"$2,564,753"
323,Dwight Howard,LAL,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
324,Thabo Sefolosha,HOU,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
325,Tyson Chandler,HOU,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
326,Gerald Green,DEN,"$2,564,753",,,,,,,"$2,564,753"
327,J.J. Barea,DAL,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
328,,,,,,,,,,
329,,,,,,,,,,
330,Wilson Chandler,BRK,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
331,NenÃª HilÃ¡rio,ATL,"$2,564,753",,,,,,,"$2,564,753"
332,Vince Carter,ATL,"$2,564,753",,,,,,Minimum Salary,"$2,564,753"
333,Josh Okogie,MIN,"$2,530,680","$2,651,040","$4,087,904",,,,1st Round Pick,"$5,181,720"
334,Vincent Poirier,BOS,"$2,505,793","$2,619,207",,,,,Minimum Salary,"$5,125,000"
335,Rondae Hollis-Jefferson,TOR,"$2,500,000",,,,,,MLE,"$2,500,000"
336,Brandon Clarke,MEM,"$2,478,840","$2,602,920","$2,726,880","$4,343,920",,,1st Round Pick,"$5,081,760"
337,Terrance Ferguson,OKC,"$2,475,840","$3,944,013",,,,,1st Round Pick,"$6,419,853"
338,Grayson Allen,MEM,"$2,429,400","$2,545,320","$4,054,695",,,,1st Round Pick,"$4,974,720"
339,Anthony Tolliver,SAC,"$2,419,852",,,,,,,"$2,419,852"
340,Grant Williams,BOS,"$2,379,840","$2,498,760","$2,617,800","$4,306,281",,,1st Round Pick,"$4,878,600"
341,Jarrett Allen,BRK,"$2,376,840","$3,909,902",,,,,1st Round Pick,"$6,286,742"
342,Pascal Siakam,TOR,"$2,351,839","$29,000,000","$31,320,000","$33,640,000","$35,960,000",,1st Round pick,"$132,271,839"
343,Skal LabissiÃ¨re,ATL,"$2,338,847",,,,,,1st Round pick,"$2,338,847"
344,Chandler Hutchison,CHI,"$2,332,320","$2,443,440","$4,019,459",,,,1st Round Pick,"$4,775,760"
345,Patrick Patterson,LAC,"$2,331,593",,,,,,Minimum Salary,"$2,331,593"
346,Dejounte Murray,SAS,"$2,321,735","$14,285,714","$15,428,571","$16,571,429","$17,714,286",,1st Round pick,"$66,321,735"
347,Alec Burks,PHI,"$2,320,044",,,,,,Minimum Salary,"$2,320,044"
348,Isaiah Thomas,LAC,"$2,320,044",,,,,,,"$2,320,044"
349,Damian Jones,ATL,"$2,305,057",,,,,,1st Round pick,"$2,305,057"
350,,,,,,,,,,
351,,,,,,,,,,
352,Darius Bazley,OKC,"$2,284,800","$2,399,160","$2,513,040","$4,264,629",,,1st Round Pick,"$4,683,960"
353,OG Anunoby,TOR,"$2,281,800","$3,872,215",,,,,1st Round Pick,"$6,154,015"
354,Ante Å_iÅ_iÄ‡,CLE,"$2,281,800",,,,,,1st Round Pick,"$2,281,800"
355,Monta Ellis,IND,"$2,245,400","$2,245,400","$2,245,400",,,,,"$6,736,200"
356,Markieff Morris,DET,"$2,241,808",,,,,,,"$2,241,808"
357,Aaron Holiday,IND,"$2,239,200","$2,345,640","$3,980,551",,,,1st Round Pick,"$4,584,840"
358,Luke Kornet,CHI,"$2,195,122","$2,304,878",,,,,Room Exception,"$4,500,000"
359,Ty Jerome,PHO,"$2,193,480","$2,303,040","$2,412,840","$4,220,057",,,1st Round Pick,"$4,496,520"
360,Willie Cauley-Stein,DAL,"$2,177,483","$2,286,357",,,,,MLE,"$2,177,483"
361,Austin Rivers,HOU,"$2,174,318","$2,369,663",,,,,Minimum Salary,"$2,174,318"
362,Carmelo Anthony,POR,"$2,159,029",,,,,,Minimum Salary,"$2,159,029"
363,Anfernee Simons,POR,"$2,149,560","$2,252,040","$3,938,818",,,,1st Round Pick,"$4,401,600"
364,Matt Barnes,SAC,"$2,133,541",,,,,,,"$2,133,541"
365,Nassir Little,POR,"$2,105,520","$2,210,640","$2,316,240","$4,171,548",,,1st Round Pick,"$4,316,160"
366,Torrey Craig,DEN,"$2,100,000",,,,,,Cap Space,"$2,100,000"
367,Moritz Wagner,WAS,"$2,063,520","$2,161,920","$3,893,618",,,,1st Round Pick,"$4,225,440"
368,Dylan Windler,CLE,"$2,035,800","$2,137,440","$2,239,200","$4,037,278",,,1st Round Pick,"$4,173,240"
369,Caleb Swanigan,POR,"$2,033,160",,,,,,1st Round Pick,"$2,033,160"
370,Trey Burke,PHI,"$2,028,594",,,,,,,"$2,028,594"
371,Kyle O'Quinn,PHI,"$2,028,594",,,,,,Minimum Salary,"$2,028,594"
372,,,,,,,,,,
373,,,,,,,,,,
374,Michael Carter-Williams,ORL,"$2,028,594",,,,,,Minimum Salary,"$2,028,594"
375,Mike Muscala,OKC,"$2,028,594","$2,283,034",,,,,Minimum Salary,"$2,028,594"
376,Nerlens Noel,OKC,"$2,028,594",,,,,,Minimum Salary,"$2,028,594"
377,Troy Daniels,LAL,"$2,028,594",,,,,,,"$2,028,594"
378,Ben McLemore,HOU,"$2,028,594","$2,283,034",,,,,Minimum Salary,"$2,028,594"
379,Spencer Hawes,MIL,"$2,007,058",,,,,,,"$2,007,058"
380,Edmond Sumner,IND,"$2,000,000","$2,160,000","$2,320,000",,,,Cap Space,"$4,160,000"
381,Avery Bradley,MEM,"$2,000,000",,,,,,,"$2,000,000"
382,Noah Vonleh,DEN,"$2,000,000",,,,,,MLE,"$2,000,000"
383,Landry Shamet,LAC,"$1,995,120","$2,090,040","$3,768,342",,,,1st Round Pick,"$4,085,160"
384,Mfiondu Kabengele,LAC,"$1,977,000","$2,075,880","$2,174,880","$3,923,484",,,1st Round Pick,"$4,052,880"
385,Kyle Kuzma,LAL,"$1,974,600","$3,562,178",,,,,1st Round Pick,"$5,536,778"
386,Jordan Poole,GSW,"$1,964,760","$2,063,280","$2,161,440","$3,901,399",,,1st Round Pick,"$4,028,040"
387,Tony Bradley,UTA,"$1,962,360","$3,542,060",,,,,1st Round Pick,"$5,504,420"
388,Keldon Johnson,SAS,"$1,950,600","$2,048,040","$2,145,720","$3,873,025",,,1st Round Pick,"$3,998,640"
389,Derrick White,SAS,"$1,948,080","$3,516,284",,,,,1st Round Pick,"$5,464,364"
390,Robert Williams,BOS,"$1,937,520","$2,029,920","$3,661,976",,,,1st Round Pick,"$3,967,440"
391,Josh Hart,NOP,"$1,934,160","$3,491,159",,,,,1st Round Pick,"$5,425,319"
392,Jacob Evans,MIN,"$1,925,880","$2,017,320","$3,641,263",,,,1st Round Pick,"$3,943,200"
393,Anderson VarejÃ£o,POR,"$1,913,345","$1,913,345",,,,,,"$3,826,690"
394,,,,,,,,,,
395,,,,,,,,,,
396,DÅ_anan Musa,BRK,"$1,911,600","$2,002,800","$3,615,054",,,,1st Round Pick,"$3,914,400"
397,Omari Spellman,MIN,"$1,897,800","$1,988,280","$3,588,845",,,,1st Round Pick,"$3,886,080"
398,Shabazz Napier,WAS,"$1,882,867",,,,,,Cap Space,"$1,882,867"
399,Glenn Robinson,PHI,"$1,882,867","$2,071,978",,,,,Minimum Salary,"$1,882,867"
400,James Ennis,ORL,"$1,882,867","$2,071,978",,,,,Minimum Salary,"$1,882,867"
401,Tim Frazier,DET,"$1,882,867",,,,,,,"$1,882,867"
402,Larry Sanders,MIL,"$1,865,547","$1,865,547","$1,865,547",,,,,"$5,596,641"
403,Bruno Caboclo,HOU,"$1,845,301",,,,,,Minimum Salary,"$1,845,301"
404,Markieff Morris,LAL,"$1,750,000",,,,,,DPE,"$1,750,000"
405,Mario Hezonja,POR,"$1,737,145","$1,882,867",,,,,Minimum Salary,"$3,620,012"
406,Emmanuel Mudiay,UTA,"$1,737,145",,,,,,Minimum Salary,"$1,737,145"
407,Raul Neto,PHI,"$1,737,145",,,,,,Minimum Salary,"$1,737,145"
408,JaKarr Sampson,IND,"$1,737,145",,,,,,Minimum Salary,"$1,737,145"
409,Pat Connaughton,MIL,"$1,723,050",,,,,,MLE,"$1,723,050"
410,Jahlil Okafor,NOP,"$1,702,486",,,,,,Minimum Salary,"$1,702,486"
411,Rodions Kurucs,BRK,"$1,699,236","$1,780,152","$1,861,068",,,,Cap space,"$3,479,388"
412,Jonah Bolden,PHI,"$1,698,450",,,,,,,"$1,698,450"
413,Georges Niang,UTA,"$1,678,854","$1,783,557",,,,,Non-Bird Exception,"$1,678,854"
414,Cheick Diallo,PHO,"$1,678,854","$1,824,003",,,,,Minimum Salary,"$1,678,854"
415,Dragan Bender,MIL,"$1,678,854",,,,,,,"$1,678,854"
416,,,,,,,,,,
417,,,,,,,,,,
418,David Nwaba,BRK,"$1,678,854",,,,,,,"$1,678,854"
419,Treveon Graham,ATL,"$1,678,854",,,,,,Minimum Salary,"$1,678,854"
420,Willy HernangÃ_mez,CHO,"$1,676,735",,,,,,Cap Space,"$1,676,735"
421,Derrick Jones,MIA,"$1,645,357",,,,,,Minimum Salary,"$1,645,357"
422,Jordan McRae,DET,"$1,645,357",,,,,,Minimum Salary,"$1,645,357"
423,Christian Wood,DET,"$1,645,357",,,,,,Minimum Salary,"$1,645,357"
424,Furkan Korkmaz,PHI,"$1,620,564","$1,762,796",,,,,Minimum Salary,"$1,620,564"
425,Jordan Bell,MEM,"$1,620,564",,,,,,,"$1,620,564"
426,Justin Patton,DAL,"$1,620,564",,,,,,,"$1,620,564"
427,Royce O'Neale,UTA,"$1,618,520","$8,035,714","$8,678,571","$9,321,429","$9,964,286",,Cap space,"$37,618,520"
428,Dillon Brooks,MEM,"$1,618,520","$11,400,000","$12,200,000","$11,400,000",,,MLE,"$36,618,520"
429,Wesley Iwundu,ORL,"$1,618,520",,,,,,Cap Space,"$1,618,520"
430,Abdel Nader,OKC,"$1,618,520","$1,752,950",,,,,Cap Space,"$1,618,520"
431,Damyean Dotson,NYK,"$1,618,520",,,,,,Minimum Salary,"$1,618,520"
432,Frank Jackson,NOP,"$1,618,520",,,,,,MLE,"$1,618,520"
433,Sterling Brown,MIL,"$1,618,520",,,,,,MLE,"$1,618,520"
434,Dwayne Bacon,CHO,"$1,618,520",,,,,,MLE,"$1,618,520"
435,Semi Ojeleye,BOS,"$1,618,520","$1,752,950",,,,,Cap space,"$1,618,520"
436,Chris Boucher,TOR,"$1,588,231",,,,,,Minimum Salary,"$1,588,231"
437,Malcolm Miller,TOR,"$1,588,231",,,,,,Minimum Salary,"$1,588,231"
438,,,,,,,,,,
439,,,,,,,,,,
440,Monte Morris,DEN,"$1,588,231","$1,663,861",,,,,Minimum Salary,"$1,588,231"
441,Mitchell Robinson,NYK,"$1,559,712","$1,663,861","$1,802,057",,,,MLE,"$1,559,712"
442,Vlatko ÄŒanÄçar,DEN,"$1,517,981","$898,310","$1,782,621",,,,MLE,"$2,416,291"
443,Isaiah Roby,OKC,"$1,500,000","$1,517,981","$1,782,621","$1,930,681",,,MLE,"$3,017,981"
444,Nigel Williams-Goss,UTA,"$1,500,000","$1,517,981","$1,782,621",,,,Cap Space,"$1,500,000"
445,J.R. Smith,CLE,"$1,456,667","$1,456,667","$1,456,666",,,,,"$4,370,000"
446,Shake Milton,PHI,"$1,445,697","$1,701,593","$1,846,738","$1,997,718",,,Cap Space,"$4,994,028"
447,Thanasis Antetokounmpo,MIL,"$1,445,697","$1,701,593",,,,,Minimum Salary,"$3,147,290"
448,Amile Jefferson,ORL,"$1,445,697",,,,,,,"$1,445,697"
449,Theo Pinson,BRK,"$1,445,697","$1,701,593",,,,,Minimum Salary,"$1,445,697"
450,Brad Wanamaker,BOS,"$1,445,697",,,,,,Minimum Salary,"$1,445,697"
451,Derrick Walton,ATL,"$1,445,697",,,,,,,"$1,445,697"
452,Ryan Broekhoff,DAL,"$1,443,842",,,,,,,"$1,443,842"
453,Gary Trent,POR,"$1,416,852","$1,663,861",,,,,MLE,"$3,080,713"
454,Isaac Bonga,WAS,"$1,416,852","$1,663,861",,,,,Cap Space,"$1,416,852"
455,Chimezie Metu,SAS,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
456,Jevon Carter,PHO,"$1,416,852",,,,,,MInimum Salary,"$1,416,852"
457,Elie Okobo,PHO,"$1,416,852","$1,663,861","$1,802,057",,,,Cap Space,"$1,416,852"
458,Melvin Frazier,ORL,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
459,Deonte Burton,OKC,"$1,416,852","$1,663,861",,,,,Minimum Salary,"$1,416,852"
460,,,,,,,,,,
461,,,,,,,,,,
462,Hamidou Diallo,OKC,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
463,Kenrich Williams,NOP,"$1,416,852",,,,,,Minimum Salary,"$1,416,852"
464,Jarred Vanderbilt,MIN,"$1,416,852","$1,663,861",,,,,Cap Space,"$1,416,852"
465,Duncan Robinson,MIA,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
466,Kendrick Nunn,MIA,"$1,416,852","$1,663,861",,,,,Minimum Salary,"$1,416,852"
467,De'Anthony Melton,MEM,"$1,416,852",,,,,,Cap Space,"$1,416,852"
468,Alize Johnson,IND,"$1,416,852",,,,,,Minimum Salary,"$1,416,852"
469,Isaiah Hartenstein,HOU,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
470,Sviatoslav Mykhailiuk,DET,"$1,416,852","$1,663,861",,,,,Cap Space,"$1,416,852"
471,Bruce Brown,DET,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
472,Keita Bates-Diop,DEN,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
473,Devonte' Graham,CHO,"$1,416,852","$1,663,861",,,,,MLE,"$1,416,852"
474,Jalen Brunson,DAL,"$1,416,582","$1,663,861","$1,802,057",,,,Cap Space,"$3,080,443"
475,Bruno Fernando,ATL,"$1,400,000","$1,517,981","$1,782,621",,,,Cap space,"$4,700,602"
476,Jaylen Nowell,MIN,"$1,400,000","$1,517,981","$1,782,621","$1,930,681",,,MLE,"$1,400,000"
477,Alfonzo McKinnie,CLE,"$1,361,046","$1,762,796","$1,910,860","$2,165,298",,,MLE,"$2,253,031"
478,Kevin Porter,CLE,"$1,290,960","$2,033,160","$2,130,240","$3,845,083",,,1st Round Pick,"$3,324,120"
479,Carsen Edwards,BOS,"$1,228,026","$1,517,981","$1,782,621","$1,930,681",,,Cap space,"$4,528,628"
480,Cody Martin,CHO,"$1,173,310","$1,517,981","$1,782,621",,,,MLE,"$4,473,912"
481,Gary Payton,WAS,"$1,090,781",,,,,,Minimum Salary,"$1,090,781"
482,,,,,,,,,,
483,,,,,,,,,,
484,George Hill,MIL,"$1,000,000",,,,,,,"$21,000,000"
485,Terance Mann,LAC,"$1,000,000","$1,517,984","$1,782,621","$1,930,681",,,Minimum Salary,"$2,517,984"
486,Jonathon Simmons,WAS,"$1,000,000",,,,,,,"$1,000,000"
487,Justin Hamilton,TOR,"$1,000,000",,,,,,,"$1,000,000"
488,Kyle Singler,OKC,"$999,200","$999,200","$999,200","$999,200",,,,"$3,996,800"
489,Marvin Williams,MIL,"$956,349",,,,,,Minimum Salary,"$956,349"
490,Admiral Schofield,WAS,"$898,310","$1,517,981","$1,782,621",,,,MLE,"$4,198,912"
491,KZ Okpala,MIA,"$898,310","$1,517,981","$1,782,621",,,,MLE,"$4,198,912"
492,Eric Paschall,GSW,"$898,310","$1,517,981","$1,782,621",,,,MLE,"$4,198,912"
493,Nicolas Claxton,BRK,"$898,310","$1,517,981","$1,782,621",,,,Minimum Salary,"$4,198,912"
494,Justin James,SAC,"$898,310","$1,517,981","$1,782,621",,,,Minimum Salary,"$2,416,291"
495,Jalen Lecque,PHO,"$898,310","$1,517,981","$1,782,621","$1,930,681",,,Cap Space,"$2,416,291"
496,Ignas Brazdeikis,NYK,"$898,310","$1,517,981","$1,782,621",,,,Minimum Salary,"$2,416,291"
497,Talen Horton-Tucker,LAL,"$898,310","$1,517,981",,,,,Minimum Salary,"$2,416,291"
498,Daniel Gafford,CHI,"$898,310","$1,517,981","$1,782,621","$1,930,681",,,Minimum Salary,"$2,416,291"
499,Alen SmailagiÄ‡,GSW,"$898,310","$1,517,981","$1,782,621","$1,930,681",,,MLE,"$2,415,891"
500,Matt Thomas,TOR,"$898,310","$1,517,981","$1,782,621",,,,MLE,"$1,623,310"
501,Miye Oni,UTA,"$898,310","$1,517,981","$1,782,621",,,,Minimum Salary,"$898,310"
502,Dewan Hernandez,TOR,"$898,310","$1,517,981","$1,782,621",,,,MLE,"$898,310"
503,Terence Davis,TOR,"$898,310","$1,517,981",,,,,Minimum Salary,"$898,310"
504,,,,,,,,,,
505,,,,,,,,,,
506,Wenyen Gabriel,POR,"$898,310",,,,,,Minimum Salary,"$898,310"
507,Naz Reid,MIN,"$898,310","$1,517,981","$1,782,621","$1,930,681",,,MLE,"$898,310"
508,Jalen McDaniels,CHO,"$898,310","$1,517,981","$1,782,621","$1,930,681",,,Minimum Salary,"$898,310"
509,Caleb Martin,CHO,"$898,310","$1,517,981","$1,782,621",,,,Minimum Salary,"$898,310"
510,Shaquille Harrison,CHI,"$898,310",,,,,,Minimum Salary,"$898,310"
511,Javonte Green,BOS,"$898,310","$1,517,981",,,,,Minimum Salary,"$898,310"
512,Damion Lee,GSW,"$842,327","$1,762,796","$1,910,860",,,,MLE,"$1,442,327"
513,Khyri Thomas,DET,"$838,464","$1,663,861",,,,,MLE,"$838,464"
514,DeMarre Carroll,HOU,"$811,447",,,,,,Minimum Salary,"$811,447"
515,Michael Kidd-Gilchrist,DAL,"$810,763",,,,,,Minimum Salary,"$810,763"
516,Marquese Chriss,GSW,"$758,804",,,,,,,"$2,213,272"
517,Juwan Morgan,UTA,"$746,054",,,,,,Minimum Salary,"$746,054"
518,Patrick Patterson,OKC,"$737,067","$737,067","$737,066",,,,,"$2,211,200"
519,Reggie Jackson,LAC,"$734,025",,,,,,Minimum Salary,"$734,025"
520,Alfonzo McKinnie,CLE,"$708,871",,,,,,,"$2,253,031"
521,Gary Clark,HOU,"$708,426",,,,,,,"$708,426"
522,Jeff Green,HOU,"$695,526",,,,,,Minimum Salary,"$840,427"
523,Cole Aldrich,MIN,"$685,340","$685,340",,,,,,"$1,370,680"
524,Shaun Livingston,GSW,"$666,667","$666,667","$666,666",,,,,"$2,666,666"
525,Marquese Chriss,GSW,"$654,468","$1,824,003",,,,,Minimum Salary,"$2,213,272"
526,,,,,,,,,,
527,,,,,,,,,,
528,TimothÃ© Luwawu-Cabarrot,BRK,"$654,468","$1,824,003",,,,,Minimum Salary,"$844,170"
529,Rayjon Tucker,UTA,"$578,573","$1,517,981",,,,,Minimum Salary,"$578,574"
530,Chris Clemons,HOU,"$568,422","$1,517,981","$1,782,621",,,,MLE,"$568,422"
531,Gary Clark,ORL,"$555,409",,,,,,Minimum Salary,"$718,765"
532,Brandon Goodwin,ATL,"$522,738","$1,701,593",,,,,Minimum Salary,"$522,738"
533,Dion Waiters,LAL,"$503,656",,,,,,Minimum Salary,"$503,656"
534,Ryan Anderson,HOU,"$500,000",,,,,,,"$500,000"
535,AnÅ_ejs PaseÄçÅ†iks,WAS,"$482,144",,,,,,Minimum Salary,"$482,144"
536,Troy Daniels,DEN,"$481,000",,,,,,Minimum Salary,"$481,000"
537,Chris Silva,MIA,"$466,918","$1,517,981","$1,782,621",,,,MLE,"$1,984,899"
538,Dakari Johnson,MEM,"$459,414","$459,414",,,,,,"$918,828"
539,Iman Shumpert,BRK,"$419,443",,,,,,,"$419,443"
540,Max Strus,BOS,"$415,414",,,,,,,"$415,414"
541,Justin Robinson,WAS,"$395,866",,,,,,,"$395,866"
542,Ivan Rabb,MEM,"$371,758",,,,,,,"$371,758"
543,Norvel Pelle,PHI,"$350,189",,,,,,Minimum Salary,"$350,189"
544,Ky Bowman,GSW,"$350,189","$1,517,981","$1,782,621",,,,MLE,"$350,189"
545,Juan Toscano-Anderson,GSW,"$350,189","$1,517,981","$1,782,621",,,,MLE,"$350,189"
546,A.J. Hammons,MIA,"$350,087","$350,087",,,,,,"$700,174"
547,Festus Ezeli,POR,"$333,333",,,,,,,"$333,333"
548,,,,,,,,,,
549,,,,,,,,,,
550,C.J. Watson,ORL,"$333,333",,,,,,,"$333,333"
551,Stanton Kidd,UTA,"$250,000",,,,,,,"$250,000"
552,Joe Johnson,DET,"$220,000",,,,,,,"$220,000"
553,Jemerrio Jones,WAS,"$199,000",,,,,,,"$199,000"
554,Jontay Porter,MEM,"$197,933","$1,517,981",,,,,Minimum Salary,"$197,933"
555,TimothÃ© Luwawu-Cabarrot,BRK,"$189,702",,,,,,,"$844,170"
556,Dragan Bender,GSW,"$189,702",,,,,,Minimum Salary,"$189,702"
557,Mychal Mulder,GSW,"$187,782","$1,517,981","$1,782,621",,,,Minimum Salary,"$238,534"
558,Alfonzo McKinnie,CLE,"$183,114",,,,,,,"$2,253,031"
559,Gary Clark,ORL,"$163,356",,,,,,,"$718,765"
560,Joe Chealey,CHO,"$163,356",,,,,,Minimum Salary,"$163,356"
561,Cameron Payne,TOR,"$150,000",,,,,,,"$150,000"
562,Jeff Green,HOU,"$144,901",,,,,,,"$840,427"
563,Anthony Tolliver,MEM,"$144,901",,,,,,,"$144,901"
564,Joakim Noah,LAC,"$144,901",,,,,,Minimum Salary,"$144,901"
565,Troy Williams,HOU,"$122,741","$122,741","$122,741","$122,741",,,,"$490,964"
566,Johnathan Williams,WAS,"$106,181",,,,,,,"$106,181"
567,Tyler Cook,CLE,"$101,504",,,,,,,"$151,504"
568,Donta Hall,DET,"$101,504",,,,,,,"$101,504"
569,Yante Maten,MIA,"$100,000",,,,,,,"$100,000"
570,,,,,,,,,,
571,,,,,,,,,,
572,Jaylen Adams,ATL,"$100,000",,,,,,,"$100,000"
573,Justin Anderson,BRK,"$98,144",,,,,,,"$98,144"
574,Demetrius Jackson,BOS,"$92,857","$92,857","$92,857","$92,857","$92,857",,,"$464,285"
575,Jeremy Pargo,GSW,"$91,557",,,,,,,"$91,557"
576,Chasson Randle,GSW,"$91,557",,,,,,Minimum Salary,"$91,557"
577,Jonah Bolden,PHO,"$81,678",,,,,,,"$81,678"
578,Josh Magette,ORL,"$81,678",,,,,,,"$81,678"
579,Jarrod Uthoff,MEM,"$81,678",,,,,,,"$81,678"
580,Dusty Hannahs,MEM,"$81,678",,,,,,,"$81,678"
581,Derrick Walton,DET,"$81,678",,,,,,,"$81,678"
582,J.P. Macura,CLE,"$81,678",,,,,,,"$81,678"
583,Sheldon Mac,CLE,"$81,678",,,,,,Minimum Salary,"$81,678"
584,Mychal Mulder,GSW,"$50,752",,,,,,,"$238,534"
585,Eric Mika,SAC,"$50,752",,,,,,,"$50,752"
586,Zach Norvell,GSW,"$50,752",,,,,,,"$50,752"
587,Malik Newman,CLE,"$50,752",,,,,,,"$50,752"
588,Marques Bolden,CLE,"$50,752",,,,,,,"$50,752"
589,Sir'Dominic Pointer,CLE,"$50,752",,,,,,Minimum Salary,"$50,752"
590,Paul Watson,ATL,"$50,752",,,,,,,"$50,752"
591,Tyler Cook,CLE,"$50,000",,,,,,,"$151,504"
592,,,,,,,,,,
593,,,,,,,,,,
594,William Howard,UTA,"$50,000",,,,,,,"$50,000"
595,Isaiah Taylor,TOR,"$50,000",,,,,,,"$50,000"
596,Tyler Lydon,SAC,"$50,000",,,,,,,"$50,000"
597,Hollis Thompson,SAC,"$50,000",,,,,,,"$50,000"
598,Tyler Ulis,SAC,"$50,000",,,,,,,"$50,000"
